tensor(-0.4374, grad_fn=<CopyBackwards>)
tensor(0.4374, grad_fn=<CopyBackwards>)
tensor(-0.0555, grad_fn=<CopyBackwards>)
tensor(0.0114, grad_fn=<CopyBackwards>)
tensor(-0.4942, grad_fn=<CopyBackwards>)
tensor(-0.1779, grad_fn=<CopyBackwards>)
tensor(-0.1505, grad_fn=<CopyBackwards>)
tensor(-0.6798, grad_fn=<CopyBackwards>)
tensor(0.2720, grad_fn=<CopyBackwards>)
tensor(-0.0724, grad_fn=<CopyBackwards>)
tensor(-0.5562, grad_fn=<CopyBackwards>)
tensor(-0.4178, grad_fn=<CopyBackwards>)
tensor(-0.2006, grad_fn=<CopyBackwards>)
tensor(-0.4074, grad_fn=<CopyBackwards>)
tensor(-0.5641, grad_fn=<CopyBackwards>)
tensor(-0.3318, grad_fn=<CopyBackwards>)
tensor(-0.4560, grad_fn=<CopyBackwards>)
tensor(-0.1932, grad_fn=<CopyBackwards>)
tensor(-0.0500, grad_fn=<CopyBackwards>)
