tensor(-0.0029, grad_fn=<CopyBackwards>)
tensor(-0.0738, grad_fn=<CopyBackwards>)
tensor(-0.0161, grad_fn=<CopyBackwards>)
tensor(-0.2436, grad_fn=<CopyBackwards>)
tensor(-0.0293, grad_fn=<CopyBackwards>)
tensor(-0.1213, grad_fn=<CopyBackwards>)
tensor(-0.0559, grad_fn=<CopyBackwards>)
tensor(-0.0015, grad_fn=<CopyBackwards>)
tensor(-0.0196, grad_fn=<CopyBackwards>)
tensor(-0.0352, grad_fn=<CopyBackwards>)
tensor(-0.0363, grad_fn=<CopyBackwards>)
tensor(-0.2553, grad_fn=<CopyBackwards>)
tensor(-0.0019, grad_fn=<CopyBackwards>)
tensor(-0.0265, grad_fn=<CopyBackwards>)
tensor(-0.0006, grad_fn=<CopyBackwards>)
tensor(-0.0029, grad_fn=<CopyBackwards>)
tensor(-0.2244, grad_fn=<CopyBackwards>)
tensor(-0.0038, grad_fn=<CopyBackwards>)
tensor(-0.2346, grad_fn=<CopyBackwards>)
tensor(-0.2978, grad_fn=<CopyBackwards>)
tensor(-0.1554, grad_fn=<CopyBackwards>)
tensor(-0.1103, grad_fn=<CopyBackwards>)
tensor(-0.0232, grad_fn=<CopyBackwards>)
tensor(-0.2887, grad_fn=<CopyBackwards>)
tensor(-0.0456, grad_fn=<CopyBackwards>)
tensor(-0.0433, grad_fn=<CopyBackwards>)
tensor(-0.0880, grad_fn=<CopyBackwards>)
tensor(-0.0237, grad_fn=<CopyBackwards>)
tensor(-0.0141, grad_fn=<CopyBackwards>)
tensor(-0.0384, grad_fn=<CopyBackwards>)
tensor(-0.0502, grad_fn=<CopyBackwards>)
tensor(-0.0583, grad_fn=<CopyBackwards>)
tensor(-0.0597, grad_fn=<CopyBackwards>)
tensor(-0.0178, grad_fn=<CopyBackwards>)
tensor(-0.0320, grad_fn=<CopyBackwards>)
tensor(-0.0011, grad_fn=<CopyBackwards>)
tensor(-0.0015, grad_fn=<CopyBackwards>)
tensor(-0.0014, grad_fn=<CopyBackwards>)
tensor(-0.0209, grad_fn=<CopyBackwards>)
tensor(-0.0374, grad_fn=<CopyBackwards>)
tensor(-0.1907, grad_fn=<CopyBackwards>)
tensor(-9.6537e-05, grad_fn=<CopyBackwards>)
tensor(-0.0047, grad_fn=<CopyBackwards>)
tensor(-0.0251, grad_fn=<CopyBackwards>)
tensor(-0.1533, grad_fn=<CopyBackwards>)
tensor(-0.0541, grad_fn=<CopyBackwards>)
tensor(-0.1763, grad_fn=<CopyBackwards>)
tensor(-0.0299, grad_fn=<CopyBackwards>)
tensor(-0.0059, grad_fn=<CopyBackwards>)
tensor(-0.0016, grad_fn=<CopyBackwards>)
tensor(-0.0023, grad_fn=<CopyBackwards>)
tensor(-0.1107, grad_fn=<CopyBackwards>)
tensor(-0.0008, grad_fn=<CopyBackwards>)
tensor(-0.1413, grad_fn=<CopyBackwards>)
tensor(-0.1477, grad_fn=<CopyBackwards>)
tensor(-0.0056, grad_fn=<CopyBackwards>)
tensor(-0.1019, grad_fn=<CopyBackwards>)
tensor(-0.0517, grad_fn=<CopyBackwards>)
tensor(-0.0013, grad_fn=<CopyBackwards>)
tensor(-0.0667, grad_fn=<CopyBackwards>)
tensor(-0.1606, grad_fn=<CopyBackwards>)
tensor(-0.4626, grad_fn=<CopyBackwards>)
tensor(-0.0937, grad_fn=<CopyBackwards>)
tensor(-0.1406, grad_fn=<CopyBackwards>)
tensor(-0.2556, grad_fn=<CopyBackwards>)
tensor(-0.2956, grad_fn=<CopyBackwards>)
tensor(-0.2521, grad_fn=<CopyBackwards>)
tensor(-0.0110, grad_fn=<CopyBackwards>)
tensor(-0.2181, grad_fn=<CopyBackwards>)
tensor(-0.0993, grad_fn=<CopyBackwards>)
tensor(-0.0185, grad_fn=<CopyBackwards>)
tensor(-0.0577, grad_fn=<CopyBackwards>)
