tensor(-0.4966, grad_fn=<CopyBackwards>)
tensor(-0.6643, grad_fn=<CopyBackwards>)
tensor(-0.4844, grad_fn=<CopyBackwards>)
tensor(-0.6368, grad_fn=<CopyBackwards>)
tensor(-0.5089, grad_fn=<CopyBackwards>)
tensor(-0.4122, grad_fn=<CopyBackwards>)
tensor(-0.6830, grad_fn=<CopyBackwards>)
tensor(-0.4968, grad_fn=<CopyBackwards>)
tensor(-0.8506, grad_fn=<CopyBackwards>)
tensor(-0.4465, grad_fn=<CopyBackwards>)
tensor(-0.7114, grad_fn=<CopyBackwards>)
tensor(-0.6583, grad_fn=<CopyBackwards>)
tensor(-0.6727, grad_fn=<CopyBackwards>)
tensor(-0.6384, grad_fn=<CopyBackwards>)
tensor(-0.9392, grad_fn=<CopyBackwards>)
tensor(-0.7844, grad_fn=<CopyBackwards>)
tensor(-0.7546, grad_fn=<CopyBackwards>)
tensor(-0.7313, grad_fn=<CopyBackwards>)
tensor(-0.7309, grad_fn=<CopyBackwards>)
tensor(-0.4766, grad_fn=<CopyBackwards>)
tensor(-0.9253, grad_fn=<CopyBackwards>)
tensor(-0.5095, grad_fn=<CopyBackwards>)
tensor(-0.5880, grad_fn=<CopyBackwards>)
tensor(-0.6301, grad_fn=<CopyBackwards>)
tensor(-0.5521, grad_fn=<CopyBackwards>)
tensor(-0.4516, grad_fn=<CopyBackwards>)
tensor(-0.7427, grad_fn=<CopyBackwards>)
tensor(-0.8020, grad_fn=<CopyBackwards>)
tensor(-0.6255, grad_fn=<CopyBackwards>)
tensor(-0.5340, grad_fn=<CopyBackwards>)
tensor(-0.4177, grad_fn=<CopyBackwards>)
tensor(-0.6489, grad_fn=<CopyBackwards>)
tensor(-0.8843, grad_fn=<CopyBackwards>)
tensor(-0.7198, grad_fn=<CopyBackwards>)
tensor(-0.7747, grad_fn=<CopyBackwards>)
tensor(-0.3994, grad_fn=<CopyBackwards>)
tensor(-0.2598, grad_fn=<CopyBackwards>)
tensor(-0.5553, grad_fn=<CopyBackwards>)
tensor(-0.4559, grad_fn=<CopyBackwards>)
tensor(-0.8679, grad_fn=<CopyBackwards>)
tensor(-0.8496, grad_fn=<CopyBackwards>)
tensor(-0.3937, grad_fn=<CopyBackwards>)
tensor(-0.4046, grad_fn=<CopyBackwards>)
tensor(-0.5871, grad_fn=<CopyBackwards>)
tensor(-0.8497, grad_fn=<CopyBackwards>)
tensor(-0.9039, grad_fn=<CopyBackwards>)
tensor(-0.7273, grad_fn=<CopyBackwards>)
tensor(-0.2221, grad_fn=<CopyBackwards>)
tensor(-0.7982, grad_fn=<CopyBackwards>)
tensor(-0.7447, grad_fn=<CopyBackwards>)
tensor(-0.6135, grad_fn=<CopyBackwards>)
tensor(-0.8351, grad_fn=<CopyBackwards>)
tensor(-0.6104, grad_fn=<CopyBackwards>)
tensor(-0.6564, grad_fn=<CopyBackwards>)
tensor(-0.6466, grad_fn=<CopyBackwards>)
tensor(-0.7575, grad_fn=<CopyBackwards>)
tensor(-0.8087, grad_fn=<CopyBackwards>)
tensor(-0.7178, grad_fn=<CopyBackwards>)
tensor(-0.8261, grad_fn=<CopyBackwards>)
tensor(-0.0972, grad_fn=<CopyBackwards>)
tensor(-0.6495, grad_fn=<CopyBackwards>)
tensor(-0.4005, grad_fn=<CopyBackwards>)
tensor(-0.8069, grad_fn=<CopyBackwards>)
tensor(-0.8321, grad_fn=<CopyBackwards>)
tensor(-0.6350, grad_fn=<CopyBackwards>)
tensor(-0.6554, grad_fn=<CopyBackwards>)
tensor(-0.7155, grad_fn=<CopyBackwards>)
